GeneID	TotalCounts
g1471	0
g1472	0
g1473	0
g1474	0
g1475	0
g1476	0
g1477	0
g1478	0
g1479	0
g148	10
g1480	0
g1481	0
g1482	0
g1483	18
g1484	0
g1485	0
g1486	0
g1487	16
g1488	11
g1489	185
g149	493
g1490	102
g1491	36
g1492	0
g1493	0
g1494	27
g1495	7
g1496	22
g1497	0
g1498	68
g1499	11
g15	1
g150	184
g1500	21338
g1501	2580
g1502	15609
g1503	143
g1504	54
g1505	44
g1506	13
g1507	36
g1508	18
g1509	101
g151	10
g1510	233
g1511	6466
g1512	57
g1513	45
g1514	3972
g1515	32
g1516	26
g1517	30
g1518	30
g1519	18
g152	111
g1520	172
g1521	33
g1522	63
g1523	42
g1524	145
g1525	1198
g1526	9
g1527	108
g1528	89
g1529	14
g153	672
g1530	46
g1531	58
g1532	1224
g1533	112
g1534	66
g1535	175
g1536	213
g1537	199
g1538	69
g1539	186
g154	708
g1540	12
g1541	0
g1542	43
g1543	43
g1544	2
g1545	24
g1546	82
g1547	393
g1548	987
g1549	698
g155	15
g1550	92
g1551	43
g1552	1065
g1553	81
g1554	114
g1555	24
g1556	125
g1557	0
g1558	0
g1559	0
g156	6
g1560	0
g1561	0
g1562	1
g1563	0
g1564	0
g1565	0
g1566	0
g1567	0
g1568	0
g1569	0
g157	4
g1570	0
g1571	0
g1572	0
g1573	0
g1574	0
g1575	0
g1576	0
g1577	12
g1578	1294
g1579	18
g158	36
g1580	31
g1581	919
g1582	60
g1583	9
g1584	9
g1585	610
g1586	186
g1587	626
g1588	304
g1589	73
g159	2303
g1590	344
g1591	25
g1592	222
g1593	57
g1594	18
g1595	2609
g1596	13288
g1597	126
g1598	2029
g1599	218
g16	629
g160	32
g1600	89
g1601	10371
g1602	150
g1603	317
g1604	10
g1605	3199
g1606	1944
g1607	48
g1608	597
g1609	2174
g161	14
g1610	46
g1611	72
g1612	310
g1613	34685
g1614	130
g1615	266
g1616	33
g1617	2983
g1618	38
g1619	536
g162	15
g1620	376
g1621	46
g1622	72
g1623	13
g1624	0
g1625	0
g1626	10
g1627	73
g1628	173
g1629	54
g163	16
g1630	662
g1631	103
g1632	894
g1633	30
g1634	94
g1635	41
g1636	143
g1637	23
g1638	220299
g1639	204
g164	13617
g1640	7
g1641	154
g1642	11
g1643	32
g1644	189
g1645	266
g1646	43
g1647	17
g1648	2217
g1649	20
g165	11
g1650	265
g1651	114
g1652	3361
g1653	59
g1654	5819
g1655	1024
g1656	60
g1657	38
g1658	241
g1659	938
g166	17
g1660	906
g1661	95
g1662	183
g1663	1546
g1664	107
g1665	15
g1666	5
g1667	485
g1668	35
g1669	1316
g167	67
g1670	3665
g1671	857
g1672	15
g1673	14
g1674	497
g1675	46
g1676	370
g1677	118
g1678	1879
g1679	363
g168	71
g1680	23
g1681	4291
g1682	582
g1683	534
g1684	12
g1685	19
g1686	734
g1687	0
g1688	0
g1689	0
g169	482
g1690	0
g1691	2
g1692	29
g1693	8
g1694	1521
g1695	676
g1696	0
g1697	0
g1698	0
g1699	0
g17	11
g170	2384
g1700	0
g1701	0
g1702	0
g1703	0
g1704	0
g1705	0
g1706	0
g1707	0
g1708	56
g1709	0
g171	44
g1710	0
g1711	0
g1712	0
g1713	0
g1714	26
g1715	0
g1716	0
g1717	0
g1718	0
g1719	0
g172	24
g1720	0
g1721	0
g1722	4
g1723	12
g1724	3
g1725	0
g1726	1
g1727	0
g1728	0
g1729	0
g173	0
g1730	0
g1731	0
g1732	0
g1733	1
g1734	2
g1735	0
g1736	0
g1737	0
g1738	0
g1739	12
g174	3
g1740	21
g1741	41
g1742	3
g1743	0
g1744	44
g1745	80
g1746	8
g1747	45
g1748	62
g1749	3111
g175	376
g1750	63
g1751	1713
g1752	10719
g1753	11
g1754	39
g1755	18
g1756	0
g1757	0
g1758	0
g1759	0
g176	322
g1760	0
g1761	0
g1762	0
g1763	0
g1764	0
g1765	0
g1766	0
g1767	0
g1768	3967
g1769	56
g177	22
g1770	20
g1771	1729
g1772	22
g1773	0
g1774	0
g1775	1
g1776	109
g1777	0
g1778	1
g1779	20
g178	31
g1780	904
g1781	53
g1782	50
g1783	2004
g1784	0
g1785	0
g1786	0
g1787	0
g1788	0
g1789	0
g179	3140
g1790	0
g1791	0
g1792	0
g1793	0
g1794	0
g1795	0
g1796	0
g1797	1138
g1798	0
g1799	0
g18	13
g180	13
g1800	0
g1801	0
g1802	0
g1803	0
g1804	0
g1805	0
g1806	0
g1807	0
g1808	0
g1809	0
g181	0
g1810	0
g1811	0
g1812	0
g1813	0
g1814	0
g1815	4
g1816	0
g1817	16
g1818	15
g1819	0
g182	2142
g1820	0
g1821	0
g1822	0
g1823	0
g1824	0
g1825	0
g1826	0
g1827	1
g1828	0
g1829	0
g183	6
g1830	0
g1831	0
g1832	0
g1833	0
g1834	0
g1835	113
g1836	128
g1837	3
g1838	0
g1839	0
g184	113
g1840	0
g1841	0
g1842	0
g1843	0
g1844	0
g1845	0
g1846	0
g1847	246
g1848	106
g1849	0
g185	82
g1850	0
g1851	0
g1852	0
g1853	0
g1854	0
g1855	0
g1856	0
g1857	0
g1858	0
g1859	0
g186	3
g1860	0
g1861	0
g1862	0
g1863	0
g1864	0
g1865	0
g1866	0
g1867	0
g1868	0
g1869	0
g187	150
g1870	0
g1871	0
g1872	0
g1873	0
g1874	0
g1875	0
g1876	0
g1877	2
g1878	4
g1879	27
g188	740
g1880	37
g1881	30
g1882	0
g1883	0
g1884	0
g1885	0
g1886	0
g1887	0
g1888	0
g1889	0
g189	15
g1890	0
g1891	0
g1892	0
g1893	0
g1894	0
g1895	0
g1896	1
g1897	0
g1898	0
g1899	0
g19	0
g190	4353
g1900	0
g1901	0
g1902	0
g1903	0
g1904	10
g1905	5
g1906	17
g1907	119
g1908	213
g1909	125
g191	11
g1910	1335
g1911	1836
g1912	429
g1913	140
g1914	766
g1915	62
g1916	2659
g1917	2064
g1918	78
g1919	31
g192	32
g1920	4911
g1921	401
g1922	0
g1923	7
g1924	38
g1925	23
g1926	0
g1927	37
g1928	12
g1929	0
g193	127
g1930	14
g1931	70
g1932	9
g1933	14067
g1934	90
g1935	84
g1936	38
g1937	26
g1938	16
g1939	55
g194	70
g1940	24
g1941	35
g1942	6
g1943	39
g1944	738
g1945	49
g1946	54
g1947	18
g1948	37
g1949	15
g195	16
g1950	0
g1951	0
g1952	0
g1953	0
g1954	0
g1955	0
g1956	0
g1957	0
g1958	0
g1959	0
g196	205
g1960	0
g1961	0
g1962	0
g1963	0
g1964	0
g1965	81
g1966	22
g1967	54
g1968	64
g1969	22
g197	35
g1970	17
g1971	237
g1972	3763
g1973	32
g1974	247
g1975	0
g1976	0
g1977	0
g1978	0
g1979	0
g198	17
g1980	0
g1981	0
g1982	99
g1983	2
g1984	0
g1985	0
g1986	0
g1987	0
g1988	0
g1989	34
g199	23
g1990	3
g1991	0
g1992	0
g1993	0
g1994	0
g1995	0
g1996	0
g1997	55
g1998	13
g1999	60
g2	0
g20	0
g200	55
g2000	191
g2001	38
g2002	0
g2003	0
g2004	0
g2005	0
g2006	0
g2007	0
g2008	0
g2009	0
g201	1317
g2010	0
g2011	2
g2012	0
g2013	0
g2014	0
g2015	0
g2016	0
g2017	0
g2018	510
g2019	0
g202	184
g2020	0
g2021	0
g2022	0
g2023	0
g2024	0
g2025	0
g2026	6
g2027	8
g2028	0
g2029	0
g203	16
g2030	0
g2031	24
g2032	64
g2033	68
g2034	120
g2035	707
g2036	113
g2037	1757
g2038	173
g2039	11
g204	25
g2040	7201
g2041	16
g2042	85
g2043	57
g2044	36
g2045	211
g2046	1230
g2047	24
g2048	666
g2049	140
g205	411
g2050	61
g2051	4431
g2052	1100
g2053	46
g2054	101
g2055	83
g2056	48
g2057	126
g2058	4660
g2059	65
g206	230
g2060	20260
g2061	479
g2062	0
g2063	0
g2064	2185
g2065	91
g2066	16
g2067	71
g2068	241
g2069	292
g207	1029
g2070	85
g2071	54
g2072	8
g2073	14
g2074	0
g2075	56
g2076	230
g2077	16
g2078	21
g2079	1
g208	7927
g2080	31
g2081	304
g2082	280
g2083	12
g2084	58
g2085	664
g2086	9
g2087	16
g2088	22
g2089	17
g209	992
g2090	8
g2091	9
g2092	590
g2093	372
g2094	47
g2095	3424
g2096	783
g2097	142
g2098	1042
g2099	439
g21	0
g210	573
g2100	303
g2101	67
g2102	87
g2103	15623
g2104	54
g2105	108
g2106	25
g2107	201
g2108	4501
g2109	1042
g211	3023
g2110	1261
g2111	18
g2112	35
g2113	16
g2114	563
g2115	316
g2116	629
g2117	153
g2118	53
g2119	346
g212	18
g2120	3954
g2121	47
g2122	586
g2123	3576
g2124	28
g2125	297
g2126	78
g2127	176
g2128	4
g2129	0
g213	2881
g2130	0
g2131	26
g2132	0
g2133	0
g2134	0
g2135	0
g2136	0
g2137	0
g2138	0
g2139	18
g214	227
g2140	11
g2141	4
g2142	0
g2143	0
g2144	0
g2145	0
g2146	0
g2147	0
g2148	665
g2149	0
g215	25
g2150	0
g2151	0
g2152	0
g2153	0
g2154	0
g2155	0
g2156	0
g2157	0
g2158	0
g2159	990
g216	331
g2160	39
g2161	181
g2162	0
g2163	0
g2164	0
g2165	3
g2166	0
g2167	0
g2168	0
g2169	0
g217	23
g2170	7
g2171	0
g2172	0
g2173	0
g2174	17
g2175	0
g2176	0
g2177	0
g2178	0
g2179	0
g218	154
g2180	0
g2181	0
g2182	0
g2183	0
g2184	0
g2185	0
g2186	109
g2187	0
g2188	0
g2189	0
g219	185
g2190	0
g2191	0
g2192	0
g2193	0
g2194	0
g2195	0
g2196	0
g2197	0
g2198	0
g2199	0
g22	0
g220	29
g2200	0
g2201	0
g2202	0
g2203	0
g2204	0
g2205	0
g2206	0
g2207	0
g2208	0
g2209	0
g221	21
g2210	0
g2211	0
g2212	5
g2213	0
g2214	0
g2215	0
g2216	0
g2217	0
g2218	0
g2219	0
g222	25
g2220	0
g2221	0
g2222	0
g2223	0
g2224	0
g2225	0
g2226	0
g2227	0
g2228	0
g2229	23
g223	3962
g2230	0
g2231	0
g2232	0
g2233	0
g2234	1
g2235	0
g2236	0
g2237	0
g2238	0
g2239	0
g224	55
g2240	0
g2241	0
g2242	0
g2243	0
g2244	0
g2245	0
g2246	0
g2247	0
g2248	0
g2249	1
g225	103
g2250	0
g2251	0
g2252	0
g2253	0
g2254	0
g2255	0
g2256	0
g2257	0
g2258	0
g2259	0
g226	76
g2260	0
g2261	0
g2262	0
g2263	0
g2264	0
g2265	0
g2266	0
g2267	0
g2268	0
g2269	0
g227	162
g2270	34
g2271	0
g2272	0
g2273	0
g2274	0
g2275	0
g2276	0
g2277	0
g2278	0
g2279	0
g228	906
g2280	0
g2281	81
g2282	461
g2283	0
g2284	0
g2285	0
g2286	0
g2287	0
g2288	0
g2289	0
g229	317
g2290	0
g2291	0
g2292	0
g2293	0
g2294	12
g2295	0
g2296	0
g2297	0
g2298	0
g2299	0
g23	0
g230	68
g2300	0
g2301	0
g2302	0
g2303	0
g2304	0
g2305	0
g2306	0
g2307	0
g2308	3
g2309	0
g231	2965
g2310	12
g2311	0
g2312	0
g2313	0
g2314	0
g2315	0
g2316	0
g2317	0
g2318	0
g2319	0
g232	5075
g2320	0
g2321	0
g2322	0
g2323	0
g2324	0
g2325	0
g2326	0
g2327	0
g2328	0
g2329	6
g233	150
g2330	8
g2331	33
g2332	45
g2333	1899
g2334	80
g2335	683
g2336	57
g2337	125
g2338	72
g2339	99
g234	1142
g2340	146
g2341	935
g2342	176
g2343	108
g2344	8
g2345	49
g2346	22
g2347	14
g2348	524
g2349	47
g235	31
g2350	28
g2351	113
g2352	5
g2353	0
g2354	5
g2355	0
g2356	32
g2357	2
g2358	19
g2359	0
g236	179
g2360	2068
g2361	52
g2362	514
g2363	117
g2364	1211
g2365	36
g2366	37
g2367	110
g2368	8762
g2369	2186
g237	23
g2370	26
g2371	263
g2372	2375
g2373	207
g2374	17
g2375	46
g2376	53
g2377	2077
g2378	1236
g2379	75672
g238	725
g2380	2773
g2381	258
g2382	178
g2383	253
g2384	582
g2385	44
g2386	282
g2387	3091
g2388	2010
g2389	1128
g239	246
g2390	73
g2391	37
g2392	33
g2393	6770
g2394	45
g2395	51846
g2396	16
g2397	8
g2398	52
g2399	25
g24	0
g240	495
g2400	65
g2401	58
g2402	38
g2403	27
g2404	618
g2405	153
g2406	43
g2407	152
g2408	36
g2409	7047
g241	275
g2410	26361
g2411	533
g2412	88
g2413	309
g2414	969
g2415	75
g2416	238
g2417	174
g2418	2761
g2419	103
g242	1152
g2420	58
g2421	339
g2422	2131
g2423	90
g2424	3576
g2425	27
g2426	65
g2427	486
g2428	22
g2429	79
g243	257
g2430	16
g2431	58
g2432	18540
g2433	341
g2434	10340
g2435	10540
g2436	1597
g2437	2771
g2438	185
g2439	2101
g244	4316
g2440	202
g2441	2709
g2442	494
g2443	852
g2444	1485
g2445	576
g2446	1817
g2447	1012
g2448	3581
g2449	302
g245	609
g2450	150
g2451	185
g2452	2
g2453	110
g2454	91
g2455	60
g2456	23
g2457	6901
g2458	117
g2459	49967
g246	33
g2460	7612
g2461	129515
g2462	2842
g2463	137
g2464	34
g2465	22
g2466	115
g2467	31
g2468	29
g2469	5
g247	12
g2470	16
g2471	0
g2472	0
g2473	0
g2474	0
g2475	0
g2476	0
g2477	0
g2478	5
g2479	0
g248	1535
g2480	0
g2481	7
g2482	28
g2483	27
g2484	9
g2485	61
g2486	36
g2487	14522
g2488	1889
g2489	77
g249	93
g2490	16
g2491	2457
g2492	391
g2493	77
g2494	1460
g2495	15
g2496	64
g2497	165
g2498	170
g2499	3598
g25	0
g250	71
g2500	2448
g2501	289
g2502	202
g2503	45
g2504	2427
g2505	198
g2506	9901
g2507	745
g2508	701
g2509	2429
g251	18
g2510	148
g2511	116
g2512	50
g2513	12164
g2514	957
g2515	26
g2516	26984
g2517	2201
g2518	1753
g2519	7502
g252	9
g2520	4880
g2521	192
g2522	0
g2523	35
g2524	35
g2525	2
g2526	41
g2527	100
g2528	16
g2529	2
g253	0
g2530	9
g2531	469
g2532	31
g2533	68
g2534	6
g2535	16
g2536	571
g2537	144
g2538	67
g2539	16025
g254	25
g2540	93
g2541	19
g2542	41
g2543	698
g2544	214
g2545	22864
g2546	14
g2547	31
g2548	797
g2549	2055
g255	324
g2550	4268
g2551	1207
g2552	82
g2553	6254
g2554	19
g2555	377
g2556	27
g2557	428
g2558	1
g2559	0
g256	116
g2560	11
g2561	34
g2562	14
g2563	0
g2564	0
g2565	15
g2566	56
g2567	543
g2568	13542
g2569	18
g257	20
g2570	5879
g2571	483
g2572	9992
g2573	514
g2574	95
g2575	30
g2576	50
g2577	6420
g2578	194
g2579	302
g258	400
g2580	312
g2581	36
g2582	112
g2583	14
g2584	47
g2585	78
g2586	11130
g2587	35
g2588	2270
g2589	3532
g259	41
g2590	1487
g2591	42
g2592	23
g2593	17
g2594	560
g2595	9488
g2596	109
g2597	614
g2598	397
g2599	150
g26	0
g260	106
g2600	79
g2601	78
g2602	20
g2603	119
g2604	48
g2605	67
g2606	118
g2607	67
g2608	17
g2609	100
g261	10
g2610	135
g2611	4418
g2612	32
g2613	146
g2614	112
g2615	21
g2616	4048
g2617	272
g2618	457
g2619	36
g262	46
g2620	57
g2621	294
g2622	1845
g2623	750
g2624	301
g2625	20
g2626	7296
g2627	245
g2628	1287
g2629	0
g263	52
g2630	0
g2631	1
g2632	0
g2633	10
g2634	0
g2635	0
g2636	0
g2637	0
g2638	43
g2639	339
g264	0
g2640	11
g2641	3
g2642	74
g2643	38
g2644	68
g2645	746
g2646	13
g2647	14
g2648	0
g2649	1
g265	45
g2650	0
g2651	0
g2652	0
g2653	0
g2654	0
g2655	0
g2656	0
g2657	0
g2658	0
g2659	0
g266	37
g2660	0
g2661	0
g2662	0
g2663	0
g2664	0
g2665	0
g2666	0
g2667	31
g2668	790
g2669	4702
g267	2424
g2670	35
g2671	3679
g2672	36645
g2673	600
g2674	828
g2675	47
g2676	35
g2677	4
g2678	34
g2679	151
g268	1314
g2680	1525
g2681	5474
g2682	0
g2683	146
g2684	64
g2685	23
g2686	62655
g2687	14
g2688	14
g2689	10
g269	152
g2690	83
g2691	2282
g2692	1163
g2693	12
g2694	19
g2695	61
g2696	13
g2697	45
g2698	1109
g2699	8521
g27	0
g270	104
g2700	41
g2701	52
g2702	140
g2703	1206
g2704	34
g2705	38
g2706	0
g2707	0
g2708	3
g2709	0
g271	60
g2710	0
g2711	0
g2712	0
g2713	0
g2714	0
g2715	0
g2716	0
g2717	0
g2718	0
g2719	0
g272	12
g2720	0
g2721	0
g2722	0
g2723	195
g2724	0
g2725	0
g2726	0
g2727	0
g2728	0
g2729	106
g273	36
g2730	8
g2731	15
g2732	44
g2733	25
g2734	14
g2735	6
g2736	31
g2737	49691
g2738	127
g2739	124
g274	113
g2740	94
g2741	42
g2742	34
g2743	586
g2744	1833
g2745	489
g2746	0
g2747	3411
g2748	100
g2749	25
g275	116
g2750	0
g2751	2
g2752	2769
g2753	48
g2754	19
g2755	158
g2756	60
g2757	31
g2758	0
g2759	0
g276	56
g2760	0
g2761	0
g2762	0
g2763	0
g2764	0
g2765	0
g2766	34
g2767	0
g2768	5
g2769	0
g277	73
g2770	463
g2771	4136
g2772	365
g2773	2235
g2774	206
g2775	281
g2776	45
g2777	74
g2778	175
g2779	20
g278	20
g2780	104
g2781	1538
g2782	63
g2783	25
g2784	22083
g2785	161260
g2786	397
g2787	136
g2788	16
g2789	85
g279	24
g2790	238
g2791	217
g2792	51770
g2793	1862
g2794	57
g2795	876
g2796	999
g2797	143
g2798	466
g2799	101
g28	0
g280	26
g2800	860
g2801	85
g2802	822
g2803	65434
g2804	864
g2805	110
g2806	1180
g2807	125
g2808	32
g2809	20
g281	179
g2810	928
g2811	28349
g2812	4261
g2813	3451
g2814	58
g2815	584
g2816	13
g2817	8545
g2818	8650
g2819	40
g282	2684
g2820	15214
g2821	227
g2822	19
g2823	11
g2824	7991
g2825	2184
g2826	200
g2827	13
g2828	80
g2829	366
g283	15
g2830	185
g2831	53
g2832	47
g2833	180
g2834	27
g2835	496
g2836	23
g2837	268
g2838	196
g2839	60
g284	86
g2840	4082
g2841	4092
g2842	12
g2843	364
g2844	503
g2845	502
g2846	19208
g2847	2446
g2848	95
g2849	197
g285	5
g2850	13
g2851	47
g2852	1117
g2853	1629
g2854	659
g2855	3650
g2856	34
g2857	215
g2858	13
g2859	10
g286	727
g2860	28
g2861	173
g2862	0
g2863	0
g2864	0
g2865	0
g2866	0
g2867	1445
g2868	45
g2869	25
g287	49
g2870	10
g2871	51
g2872	418
g2873	15
g2874	33
g2875	84
g2876	421
g2877	12
g2878	2451
